tenant_id,metric_name,experimental_phase,mean,volatility,baseline_mean,percentage_change,p_value,is_significant
tenant-mem,disk_throughput_total,7 - Recovery,2778.47492721945,11143.331223012226,0.0,inf,0.013829950872457319,True
tenant-mem,memory_usage,2 - CPU Noise,28198901.810945272,1305342.6413870584,26953523.2,4.6204668744206066,0.00020532981200983836,True
tenant-mem,memory_usage,3 - Memory Noise,28309269.651741292,1662126.3066263716,26953523.2,5.029941509617908,8.09829284075109e-05,True
tenant-mem,memory_usage,4 - Network Noise,28797562.152284265,1762157.9942740418,26953523.2,6.841550689314952,1.9877486740381446e-07,True
tenant-mem,memory_usage,5 - Disk Noise,27878087.410526317,1398094.960887733,26953523.2,3.4302165385426027,0.005587902539002013,True
tenant-mem,memory_usage,6 - Combined Noise,28390208.0,1641729.7920656926,26953523.2,5.330230075450769,3.219848356005594e-05,True
tenant-mem,memory_usage,7 - Recovery,28541779.643564355,1257867.5709325946,26953523.2,5.8925745320164875,5.7465563463627605e-06,True
tenant-mem,network_total_bandwidth,2 - CPU Noise,3667.9875730042154,296.7771837502644,3515.624795265665,4.333874819170994,0.014770024802224729,True
tenant-mem,network_total_bandwidth,3 - Memory Noise,3656.8738627077532,357.43650860641503,3515.624795265665,4.017751485662012,0.027051579782752487,True
tenant-mem,network_total_bandwidth,4 - Network Noise,3676.8652539896684,378.49369276860864,3515.624795265665,4.586395537462894,0.012799978485303018,True
tenant-mem,network_total_bandwidth,5 - Disk Noise,3690.835523328943,340.00867376975606,3515.624795265665,4.983772110699258,0.00618936565309947,True
tenant-mem,network_total_bandwidth,6 - Combined Noise,3693.6128123989324,384.2238040253164,3515.624795265665,5.062770559957251,0.006341458531786422,True
tenant-mem,network_total_bandwidth,7 - Recovery,3748.732462039004,330.9921507783604,3515.624795265665,6.630618463245988,0.0006148604386064711,True
tenant-ntk,cpu_usage,2 - CPU Noise,0.0011316598250078024,0.00010451264688067247,0.0011626331840686411,-2.664069758653133,0.04927863906753675,True
tenant-ntk,cpu_usage,3 - Memory Noise,0.0010687952176712313,0.00010142540259423796,0.0011626331840686411,-8.071158443028727,1.1473917519521308e-08,True
tenant-ntk,cpu_usage,4 - Network Noise,0.00122306121233478,0.00013146630503626193,0.0011626331840686411,5.197514495042258,0.0003744445863835972,True
tenant-ntk,cpu_usage,5 - Disk Noise,0.0012515617803464422,0.00012998591371955105,0.0011626331840686411,7.648895412273969,2.8759189476881775e-07,True
tenant-ntk,cpu_usage,6 - Combined Noise,0.0011255147837347004,0.00010635140645614009,0.0011626331840686411,-3.1926149057645765,0.01984700479059969,True
tenant-ntk,cpu_usage,7 - Recovery,0.0011724181399059377,0.00011431877935350316,0.0011626331840686411,0.8416202093126272,0.5846070761993052,False
tenant-ntk,disk_throughput_total,2 - CPU Noise,0.0,0.0,0.0,,,False
tenant-ntk,disk_throughput_total,3 - Memory Noise,0.0,0.0,0.0,,,False
tenant-ntk,disk_throughput_total,4 - Network Noise,0.0,0.0,0.0,,,False
tenant-ntk,disk_throughput_total,5 - Disk Noise,0.0,0.0,0.0,,,False
tenant-ntk,disk_throughput_total,6 - Combined Noise,0.0,0.0,0.0,,,False
tenant-ntk,disk_throughput_total,7 - Recovery,0.0,0.0,0.0,,,False
tenant-ntk,memory_usage,2 - CPU Noise,46686941.6119403,1669004.442367736,42764143.19191919,9.173101872791339,1.1267962085491983e-20,True
tenant-ntk,memory_usage,3 - Memory Noise,47132488.59701493,1208024.447764254,42764143.19191919,10.214972355440961,8.039288033154345e-24,True
tenant-ntk,memory_usage,4 - Network Noise,46994717.88832487,1341575.3944838447,42764143.19191919,9.892808274959423,6.885278894166341e-23,True
tenant-ntk,memory_usage,5 - Disk Noise,46943415.24210526,1642005.1999063196,42764143.19191919,9.772841774077195,1.875819335744574e-22,True
tenant-ntk,memory_usage,6 - Combined Noise,47199978.666666664,2264878.700055547,42764143.19191919,10.372791651267496,7.132636422385282e-24,True
tenant-ntk,memory_usage,7 - Recovery,46903255.445544556,1811984.987040414,42764143.19191919,9.678931798188112,3.053496310586573e-21,True
tenant-ntk,network_total_bandwidth,2 - CPU Noise,1764.0130771758184,131.16038313411934,1695.1814186558915,4.060430214867703,0.01589248045274253,True
tenant-ntk,network_total_bandwidth,3 - Memory Noise,1764.6853783119661,123.95239216847474,1695.1814186558915,4.1000897538851175,0.01438851954400905,True
tenant-ntk,network_total_bandwidth,4 - Network Noise,1744.7494726099858,129.76493125219545,1695.1814186558915,2.9240559982893584,0.080757416074941,False
tenant-ntk,network_total_bandwidth,5 - Disk Noise,1763.7750152515475,116.57697854330249,1695.1814186558915,4.046386766676797,0.015386572838476047,True
tenant-ntk,network_total_bandwidth,6 - Combined Noise,1744.9476712693502,136.74771983917373,1695.1814186558915,2.935747883133255,0.08165352251669271,False
tenant-ntk,network_total_bandwidth,7 - Recovery,1748.520474736785,126.00631507777877,1695.1814186558915,3.1465101902300194,0.07167478452182274,False
