tenant_id,metric_name,experimental_phase,round_id,count,mean,std,min,max,skewness,kurtosis
tenant-mem,network_transmit,1-Baseline,round-7,334,1681.720427574707,304.75678359684855,843.329773965595,2700.8808621213334,-0.1284126751498965,1.028181452499393
tenant-mem,network_transmit,2-CPU-Noise,round-7,350,1562.0755083507645,249.1496649307948,880.4995493726115,2076.696240952603,-0.5818469373442813,-0.1486776826765439
tenant-mem,network_transmit,3-Memory-Noise,round-7,350,1687.7020098904964,225.2470753425126,975.2958535644232,2176.809721121633,-0.7211024516052982,0.24560990118832837
tenant-mem,network_transmit,4-Network-Noise,round-7,345,1421.940054331763,300.3778289439337,257.07542747388266,2005.0211910719245,-0.3936936296123182,-0.2273075710773127
tenant-mem,network_transmit,5-Disk-Noise,round-7,351,1595.9917679638238,245.05007148356498,790.923255623515,2061.234088571696,-0.5212352326351432,-0.37655002796668313
tenant-mem,network_transmit,6-Combined-Noise,round-7,345,1416.383703910725,223.42443921376957,738.559683349,1893.226777168336,-0.37012779337187607,-0.25527806679579923
tenant-mem,network_transmit,7-Recovery,round-7,185,1629.411539579407,249.3652399509931,948.9505033156104,2112.5097083219,-0.5598161100239564,-0.030919578574336803
tenant-nsy,cpu_usage,2-CPU-Noise,round-7,350,3.6341482461460353,0.5947464471104507,0.0933640918816521,4.453193632440237,-3.193984214349178,13.418028061344195
tenant-nsy,cpu_usage,3-Memory-Noise,round-7,350,2.717978514519857,0.35916146104711094,0.5516776830550038,3.140257449747501,-3.412204357710929,16.18997169363207
tenant-nsy,cpu_usage,4-Network-Noise,round-7,345,3.48220553661432,0.5372488785468924,0.7940642867471316,4.046035803860826,-2.9905435936971303,10.457010010298891
tenant-nsy,cpu_usage,5-Disk-Noise,round-7,351,0.924271831504687,0.11508428220667875,0.6029305332647635,1.1269991825494603,-0.5425981226341501,-0.3011006591713503
tenant-nsy,cpu_usage,6-Combined-Noise,round-7,345,5.5935601164843884,0.4389296140849969,3.950732040689065,6.348969045999482,-1.2553305008596076,1.761934097483139
tenant-nsy,cpu_usage,7-Recovery,round-7,185,0.2954114680642882,1.1873246487353828,0.0016784639617095,6.288466988418881,4.122258650066311,15.7783769022426
tenant-nsy,disk_io_total,2-CPU-Noise,round-7,349,274179.86013477296,55073.414856153555,58163.2,373348.69218594616,-1.2659547657095136,2.1485538376878206
tenant-nsy,disk_io_total,3-Memory-Noise,round-7,350,313056.8955906196,42576.055125441424,187404.5059845944,397805.4025896448,-0.422583598386844,-0.11850852997814698
tenant-nsy,disk_io_total,4-Network-Noise,round-7,345,269332.6375123002,45964.08003942548,126155.4832288326,374840.1652947314,-0.4978482722957742,0.4257703366662864
tenant-nsy,disk_io_total,5-Disk-Noise,round-7,351,6531405.0743119605,3183059.3776415386,1264342.500784315,35812595.60700439,5.621824602047488,41.8104318452806
tenant-nsy,disk_io_total,6-Combined-Noise,round-7,345,6356704.165254137,1095188.0102852858,2057285.2381134864,9559408.340160403,0.2755406896474539,1.2727390154671943
tenant-nsy,disk_io_total,7-Recovery,round-7,185,293127.2532174229,1193635.2261107385,0.0,6364536.483112542,4.166648914229941,16.264187882795525
tenant-nsy,memory_usage,2-CPU-Noise,round-7,350,234114264.50285715,45490277.378895685,90492928.0,327254016.0,0.005548529144235371,0.0566111400806415
tenant-nsy,memory_usage,3-Memory-Noise,round-7,350,270949358.4457143,48115392.153778136,137342976.0,361484288.0,-0.5107337044237537,0.15192598135806135
tenant-nsy,memory_usage,4-Network-Noise,round-7,345,509271624.7188406,55830831.38053603,265441280.0,647647232.0,-1.078015001226776,4.0002998161025465
tenant-nsy,memory_usage,5-Disk-Noise,round-7,351,588087949.4928775,58856640.03844377,312471552.0,676970496.0,-1.029884465696941,2.10821509278147
tenant-nsy,memory_usage,6-Combined-Noise,round-7,345,838809855.257971,77047041.36200517,540327936.0,950104064.0,-1.5760197712490862,3.778546259618925
tenant-nsy,memory_usage,7-Recovery,round-7,185,168840286.0972973,102763742.96246485,147959808.0,800591872.0,5.384887496095432,27.655636096668147
tenant-nsy,network_receive,2-CPU-Noise,round-7,350,8831.331143344225,1416.8027912101384,3373.128026156653,11768.679936973247,-0.681955436184888,0.2118465858000711
tenant-nsy,network_receive,3-Memory-Noise,round-7,350,9855.145278510474,1372.8283971997384,5050.171521640456,12456.369374178976,-0.7613618498156877,0.6287038191581429
tenant-nsy,network_receive,4-Network-Noise,round-7,345,1813246688.3782969,426986567.284213,4703.130850851556,2110093421.7048,-2.852440631556811,9.11845613358911
tenant-nsy,network_receive,5-Disk-Noise,round-7,351,8527.158873770184,1246.5941350787025,4407.670058324575,11293.27326017586,-0.5534050865022017,0.21531436252196867
tenant-nsy,network_receive,6-Combined-Noise,round-7,345,1765158498.6374097,496657408.80778956,6317.739285516235,2211814946.3322806,-2.438487416686351,5.684178361935458
tenant-nsy,network_receive,7-Recovery,round-7,185,75581155.89820954,350547698.5359459,231.9,2036582718.059651,4.7804438326253145,22.324015166023635
