tenant_id,metric_name,experimental_phase,mean,volatility,count,baseline_mean,baseline_std,baseline_count,percentage_change,cohen_d,p_value,is_significant
tenant-mem,cpu_usage,7-Recovery,3.658071864762151,0.37171553221481973,355,3.7439019422030255,0.27088220488803394,366,-2.2925300599718605,-0.26452597151990254,0.00043777221613027243,True
tenant-mem,memory_usage,2-CPU-Noise,256842156.11299434,46013241.63712618,354,261516293.5956284,47938857.694783345,366,-1.7873217069455292,-0.09944550042720017,0.18232283435944485,False
tenant-mem,memory_usage,3-Memory-Noise,258395136.0,53873636.71587679,356,261516293.5956284,47938857.694783345,366,-1.1934849460869634,-0.061257423400285206,0.41158715086254827,False
tenant-mem,memory_usage,4-Network-Noise,271705896.1139601,47642902.58145386,351,261516293.5956284,47938857.694783345,366,3.8963547464799375,0.21319740954503116,0.00444060312526004,True
tenant-mem,memory_usage,5-Disk-Noise,286190653.9501779,47247374.70624466,281,261516293.5956284,47938857.694783345,366,9.435113971407999,0.5179346349635777,1.2867229478862508e-10,True
tenant-mem,memory_usage,6-Combined-Noise,272042950.0377358,57504412.433352344,212,261516293.5956284,47938857.694783345,366,4.025239229791293,0.20381168659075566,0.024983247269601824,True
tenant-mem,memory_usage,7-Recovery,267150961.93802816,50622245.56175389,355,261516293.5956284,47938857.694783345,366,2.1546146379362487,0.11434383040598921,0.12554793031808334,False
tenant-ntk,cpu_usage,2-CPU-Noise,3.6391231850809573,0.23414318467195816,354,3.7698933236189958,0.23606565635507293,366,-3.4688020936492343,-0.5561788697607952,2.472401255336933e-13,True
tenant-ntk,cpu_usage,3-Memory-Noise,3.676282119912335,0.23792697409142918,356,3.7698933236189958,0.23606565635507293,366,-2.483126064076443,-0.39500862168235407,1.4949000507907454e-07,True
tenant-ntk,cpu_usage,4-Network-Noise,3.5904263831291856,0.22319892952489473,351,3.7698933236189958,0.23606565635507293,366,-4.760531004031879,-0.7807755788173301,6.1552553662148536e-24,True
tenant-ntk,cpu_usage,5-Disk-Noise,3.6456108546863124,0.246246033703433,281,3.7698933236189958,0.23606565635507293,366,-3.296710497191882,-0.5166854401468989,1.9595561081060058e-10,True
tenant-ntk,cpu_usage,6-Combined-Noise,3.513058537306592,0.24154543081166535,212,3.7698933236189958,0.23606565635507293,366,-6.812786576832078,-1.0787405137782817,1.6390938295009827e-30,True
tenant-ntk,cpu_usage,7-Recovery,3.7296414908807067,0.2628330791781224,355,3.7698933236189958,0.23606565635507293,366,-1.067718083323598,-0.1612630292343515,0.031009018873712876,True
tenant-ntk,memory_usage,2-CPU-Noise,465840185.85310733,41538314.39729461,354,458707234.9726776,36075123.87457641,366,1.5550116363119084,0.18356845545132436,0.014263205472811399,True
tenant-ntk,memory_usage,3-Memory-Noise,474896291.9550562,37682564.294948936,356,458707234.9726776,36075123.87457641,366,3.5292787530030756,0.4390081402675664,5.80439990567985e-09,True
tenant-ntk,memory_usage,4-Network-Noise,467610469.3789174,39312794.17677666,351,458707234.9726776,36075123.87457641,366,1.9409404795566652,0.23619289689225642,0.0016683420356724966,True
tenant-ntk,memory_usage,5-Disk-Noise,481277798.9466192,46495200.16929162,281,458707234.9726776,36075123.87457641,366,4.92047263551141,0.5515003494955064,4.551960982408115e-11,True
tenant-ntk,memory_usage,6-Combined-Noise,479182790.0377358,40694538.298656374,212,458707234.9726776,36075123.87457641,366,4.463752368387613,0.5412113507981968,2.927051878947121e-09,True
tenant-ntk,memory_usage,7-Recovery,487975206.21971834,41350905.06647208,355,458707234.9726776,36075123.87457641,366,6.38053403469515,0.7550589527189255,1.5366440910700297e-22,True
