experimental_phase,victim_tenant,metric_name,mean_percentage_change
5-Disk-Noise,tenant-mem,memory_usage,10.77520068925754
6-Combined-Noise,tenant-mem,memory_usage,11.996469622358187
7-Recovery,tenant-mem,memory_usage,9.5959044896471
2-CPU-Noise,tenant-mem,network_throughput,-4.4509811556294165
3-Memory-Noise,tenant-mem,network_throughput,-3.017772339466837
4-Network-Noise,tenant-mem,network_throughput,-8.020736508345855
5-Disk-Noise,tenant-mem,network_throughput,-7.614586527598538
6-Combined-Noise,tenant-mem,network_throughput,-14.290473793660317
7-Recovery,tenant-mem,network_throughput,-3.462665234510508
2-CPU-Noise,tenant-ntk,cpu_usage,-1.3776990141414005
3-Memory-Noise,tenant-ntk,cpu_usage,-0.62154686756408
4-Network-Noise,tenant-ntk,cpu_usage,-2.756918200622457
5-Disk-Noise,tenant-ntk,cpu_usage,0.1045885844679161
6-Combined-Noise,tenant-ntk,cpu_usage,-3.829809423627348
7-Recovery,tenant-ntk,cpu_usage,0.7816574068332606
2-CPU-Noise,tenant-ntk,disk_io_total,6.555873056110892
3-Memory-Noise,tenant-ntk,disk_io_total,5.88045696512174
4-Network-Noise,tenant-ntk,disk_io_total,5.455167863812384
5-Disk-Noise,tenant-ntk,disk_io_total,22.200095726275443
6-Combined-Noise,tenant-ntk,disk_io_total,18.736995079137166
7-Recovery,tenant-ntk,disk_io_total,26.975332260149013
2-CPU-Noise,tenant-ntk,memory_usage,1.4229399203610689
3-Memory-Noise,tenant-ntk,memory_usage,2.2970379160275995
4-Network-Noise,tenant-ntk,memory_usage,3.136267702605098
5-Disk-Noise,tenant-ntk,memory_usage,5.741725790804962
6-Combined-Noise,tenant-ntk,memory_usage,6.752292993443457
7-Recovery,tenant-ntk,memory_usage,7.090499050088686
2-CPU-Noise,tenant-ntk,network_throughput,5.506030647232434
3-Memory-Noise,tenant-ntk,network_throughput,3.452795192686472
4-Network-Noise,tenant-ntk,network_throughput,1.0386842333358848
5-Disk-Noise,tenant-ntk,network_throughput,9.41963779390299
6-Combined-Noise,tenant-ntk,network_throughput,-6.6833522114022
7-Recovery,tenant-ntk,network_throughput,-1.1159660920352774
