metric,phase,tenant_id,mean_impact,std_impact,mean_effect_size
CPU Usage,6-Combined-Noise,tenant-ntk,-3.844099655375835,2.6502100950082346,-0.5101352641962668
Disk I/O,2-CPU-Noise,tenant-cpu,-1.5977093773310287,1.9102164656272482,-0.1192564454417671
Disk I/O,2-CPU-Noise,tenant-dsk,-37.52022510731131,5.4903970180373465,-0.23321325196459033
Disk I/O,2-CPU-Noise,tenant-mem,-1.37516273688759,2.5803963286284772,-0.0980131775889135
Disk I/O,2-CPU-Noise,tenant-ntk,9.102795971481997,27.873832526718644,0.24430936077645798
Disk I/O,3-Memory-Noise,tenant-cpu,-0.3823022261469309,4.540035158926451,-0.03835538134992407
Disk I/O,3-Memory-Noise,tenant-dsk,-36.77748492245428,5.828790804003781,-0.22860405531792957
Disk I/O,3-Memory-Noise,tenant-mem,-0.646569617967593,4.212213423160363,-0.051447897291795545
Disk I/O,3-Memory-Noise,tenant-ntk,7.5864184929259615,19.981749618276762,0.22657880635857142
Disk I/O,4-Network-Noise,tenant-cpu,-3.929225508185463,3.466728397179336,-0.2948995594429813
Disk I/O,4-Network-Noise,tenant-dsk,-36.418605065892166,5.986297404368287,-0.225777784761083
Disk I/O,4-Network-Noise,tenant-mem,-3.434923606768265,4.209310363396802,-0.25321240337730144
Disk I/O,4-Network-Noise,tenant-ntk,7.517166722273479,35.214327803079065,0.034555049446035685
Disk I/O,5-Disk-Noise,tenant-cpu,8.768617952647272,39.306942176903824,-0.1592556018262096
Disk I/O,5-Disk-Noise,tenant-dsk,-65.76382690373599,3.205116315513697,-0.41070478296238006
Disk I/O,5-Disk-Noise,tenant-mem,-2.6747334591011893,2.6537703072300136,-0.18708462844026094
Disk I/O,5-Disk-Noise,tenant-ntk,29.98653677517294,52.365467446627605,0.8895955724229734
Disk I/O,6-Combined-Noise,tenant-cpu,11.426326554114757,62.73757511651948,-0.0055631004942808815
Disk I/O,6-Combined-Noise,tenant-dsk,-68.07605301801796,2.8285617821385576,-0.4068961173181384
Disk I/O,6-Combined-Noise,tenant-mem,-3.2488510678427693,28.829152318311888,-0.6694302086050603
Disk I/O,6-Combined-Noise,tenant-ntk,26.614315518840016,65.34426002112544,0.6638547854208839
Memory Usage,2-CPU-Noise,tenant-cpu,1.7745758872889636,3.9889722835146277,0.0976485199267902
Memory Usage,2-CPU-Noise,tenant-dsk,2.1419631034813142,2.048689205054163,0.21121988816203963
Memory Usage,2-CPU-Noise,tenant-mem,2.4778508622636073,3.2156132483619677,0.12902404026023015
Memory Usage,2-CPU-Noise,tenant-ntk,1.8268878328503562,2.293358881286152,0.20572728544976648
Memory Usage,3-Memory-Noise,tenant-cpu,4.886608287583737,4.049969346508388,0.25057379366918403
Memory Usage,3-Memory-Noise,tenant-dsk,2.8877532866661033,2.034234756351895,0.28886731225321977
Memory Usage,3-Memory-Noise,tenant-mem,3.223240108761706,3.803718571835546,0.1676486616208495
Memory Usage,3-Memory-Noise,tenant-ntk,2.663790962699686,3.350707199819311,0.2998218488543744
Memory Usage,4-Network-Noise,tenant-cpu,4.777687300527969,2.8436865007129786,0.2411307186180181
Memory Usage,4-Network-Noise,tenant-dsk,4.115615779600978,2.1666825378031893,0.40233260099672935
Memory Usage,4-Network-Noise,tenant-mem,5.231538671769928,5.050406245994348,0.2722614347344076
Memory Usage,4-Network-Noise,tenant-ntk,3.4581914736435544,2.500716692880944,0.38910197666376956
Memory Usage,5-Disk-Noise,tenant-cpu,10.465136322863428,5.914119340315241,0.5196336734216868
Memory Usage,5-Disk-Noise,tenant-dsk,6.883983033348849,1.649495423774467,0.6755647329540939
Memory Usage,5-Disk-Noise,tenant-mem,12.005697648613008,8.117436790140436,0.6210642320245136
Memory Usage,5-Disk-Noise,tenant-ntk,6.284067909470786,3.2643389917676866,0.6707663530158601
Memory Usage,6-Combined-Noise,tenant-cpu,13.640932300895436,5.952230969452736,0.6815536897225131
Memory Usage,6-Combined-Noise,tenant-dsk,7.83106893560472,2.527610785061938,0.7588682344376497
Memory Usage,6-Combined-Noise,tenant-mem,12.751061321934852,7.205471088957155,0.6640407646401807
Memory Usage,6-Combined-Noise,tenant-ntk,6.906016721918259,2.2803553178975173,0.7588126496620048
Network RX,2-CPU-Noise,tenant-cpu,-3.9736050110977645,2.1753237256184197,-0.2637453294153878
Network RX,2-CPU-Noise,tenant-dsk,-3.280244756458336,2.32291991458187,-0.2233786529461122
Network RX,2-CPU-Noise,tenant-mem,-4.425377795549693,2.01869784594074,-0.29149414250928946
Network RX,2-CPU-Noise,tenant-ntk,5.999514402821292,6.72959356377723,0.36777806237477667
Network RX,3-Memory-Noise,tenant-cpu,-3.048421148983005,2.446200834670483,-0.20265049794887025
Network RX,3-Memory-Noise,tenant-dsk,-1.9191817018864965,2.5667682193315255,-0.13318200069608668
Network RX,3-Memory-Noise,tenant-mem,-3.0060474312431094,2.9694045711209758,-0.20111201094992076
Network RX,3-Memory-Noise,tenant-ntk,3.7519570009290475,2.185629348234579,0.371185501530373
Network RX,4-Network-Noise,tenant-cpu,-7.4714659679241535,3.404060781894017,-0.49119216457166776
Network RX,4-Network-Noise,tenant-dsk,-6.245611361084967,3.114979055476694,-0.4227444571603302
Network RX,4-Network-Noise,tenant-mem,-7.99818297517045,4.102980977966707,-0.5145698212752996
Network RX,4-Network-Noise,tenant-ntk,1.0608296455173742,1.5999426322829373,0.11037444887809442
Network RX,5-Disk-Noise,tenant-cpu,-7.397147893589976,4.598375365058143,-0.5072076820402861
Network RX,5-Disk-Noise,tenant-dsk,-3.8700044321286797,4.887657235151709,-0.27872548623164384
Network RX,5-Disk-Noise,tenant-mem,-7.665366827459357,5.45982344938009,-0.5179713883442094
Network RX,5-Disk-Noise,tenant-ntk,5.188948975560964,11.07247653193439,0.24029903541763709
Network RX,6-Combined-Noise,tenant-cpu,-13.828119300032556,8.711819989328982,-0.9524243842814465
Network RX,6-Combined-Noise,tenant-dsk,-8.979841559880306,7.35554204663379,-0.6270675501763054
Network RX,6-Combined-Noise,tenant-mem,-14.353380164740084,9.445995594767442,-0.9636145018969146
Network RX,6-Combined-Noise,tenant-ntk,-7.411292161621648,16.32057943390572,-0.5862407939454226
Network TX,2-CPU-Noise,tenant-cpu,-3.9903483750057704,1.921252491581719,-0.28607447051582957
Network TX,2-CPU-Noise,tenant-dsk,-44.772167452398456,4.289270918716826,-0.26595940212224245
Network TX,2-CPU-Noise,tenant-mem,-4.62429781953926,1.9784425080885162,-0.31981820483673
Network TX,2-CPU-Noise,tenant-ntk,3.1354907865269643,7.870027690100414,0.1059390113385678
Network TX,3-Memory-Noise,tenant-cpu,-2.8802016976823634,2.3890709391026586,-0.2074134371661831
Network TX,3-Memory-Noise,tenant-dsk,-44.11288930029572,5.008124762105539,-0.26224442800968195
Network TX,3-Memory-Noise,tenant-mem,-3.097518091217216,2.8290560045996807,-0.21697611197024877
Network TX,3-Memory-Noise,tenant-ntk,2.1657652486090404,8.282448796168117,0.08589342926575243
Network TX,4-Network-Noise,tenant-cpu,-7.416082007661618,3.1909451565965807,-0.5254191211562528
Network TX,4-Network-Noise,tenant-dsk,-46.19445099249063,3.920730708538481,-0.2743478968529569
Network TX,4-Network-Noise,tenant-mem,-8.175747748431546,3.7629907908001456,-0.5529380346573866
Network TX,4-Network-Noise,tenant-ntk,1.549959947409869,8.416888762458543,0.06824183857948549
Network TX,5-Disk-Noise,tenant-cpu,-6.932721951041477,4.239319717811331,-0.5047953681921203
Network TX,5-Disk-Noise,tenant-dsk,-45.048897812501274,4.6307802536344544,-0.26666335041323486
Network TX,5-Disk-Noise,tenant-mem,-7.346648814235976,4.853302113399094,-0.5168730078813314
Network TX,5-Disk-Noise,tenant-ntk,40.19826735069537,111.38068075707582,0.130812481037351
Network TX,6-Combined-Noise,tenant-cpu,-13.434838844629423,7.823343880002222,-0.9844863629836418
Network TX,6-Combined-Noise,tenant-dsk,-47.45724754381408,3.687590573717614,-0.2674196801226767
Network TX,6-Combined-Noise,tenant-mem,-14.028624809690237,8.416090726967923,-0.9889324822650134
Network TX,6-Combined-Noise,tenant-ntk,-1.6285812597725373,14.023541523083319,0.010208126256109482
