metric,phase,tenant,coupling_index
disk_io_total,6-Combined-Noise,tenant-dsk,1.030989260077543
disk_io_total,6-Combined-Noise,tenant-mem,0.7623967243229939
disk_io_total,6-Combined-Noise,tenant-nsy,0.9505988594098678
disk_io_total,6-Combined-Noise,tenant-ntk,0.8041312927505091
memory_usage,1-Baseline,tenant-cpu,0.0574780375964441
memory_usage,1-Baseline,tenant-dsk,0.09031337818062846
memory_usage,1-Baseline,tenant-mem,0.0888824237446737
memory_usage,1-Baseline,tenant-nsy,0.0
memory_usage,1-Baseline,tenant-ntk,0.06227248807007135
memory_usage,2-CPU-Noise,tenant-cpu,0.1485391689673803
memory_usage,2-CPU-Noise,tenant-dsk,0.1025613544284687
memory_usage,2-CPU-Noise,tenant-mem,0.08929648570017479
memory_usage,2-CPU-Noise,tenant-nsy,0.1456442915328824
memory_usage,2-CPU-Noise,tenant-ntk,0.13698208109511367
memory_usage,3-Memory-Noise,tenant-cpu,0.12321401230662654
memory_usage,3-Memory-Noise,tenant-dsk,0.11123699276218058
memory_usage,3-Memory-Noise,tenant-mem,0.15549431397471092
memory_usage,3-Memory-Noise,tenant-nsy,0.06560756593279926
memory_usage,3-Memory-Noise,tenant-ntk,0.17280382070532285
memory_usage,4-Network-Noise,tenant-cpu,0.10341550740309513
memory_usage,4-Network-Noise,tenant-dsk,0.13307262938471665
memory_usage,4-Network-Noise,tenant-mem,0.09511259447092768
memory_usage,4-Network-Noise,tenant-nsy,0.14601116905527278
memory_usage,4-Network-Noise,tenant-ntk,0.10150818252925431
memory_usage,5-Disk-Noise,tenant-cpu,0.1317949172859021
memory_usage,5-Disk-Noise,tenant-dsk,0.10513963825737793
memory_usage,5-Disk-Noise,tenant-mem,0.14887697549772927
memory_usage,5-Disk-Noise,tenant-nsy,0.11070847781857118
memory_usage,5-Disk-Noise,tenant-ntk,0.09081434440478486
memory_usage,6-Combined-Noise,tenant-cpu,0.0912676070399403
memory_usage,6-Combined-Noise,tenant-dsk,0.1387770281680576
memory_usage,6-Combined-Noise,tenant-mem,0.08852353784583711
memory_usage,6-Combined-Noise,tenant-nsy,0.19665420944160306
memory_usage,6-Combined-Noise,tenant-ntk,0.05431365198376836
network_throughput,1-Baseline,tenant-cpu,0.9107005336150975
network_throughput,1-Baseline,tenant-dsk,0.9451372270176455
network_throughput,1-Baseline,tenant-mem,0.8508562997167786
network_throughput,1-Baseline,tenant-nsy,0.0
network_throughput,1-Baseline,tenant-ntk,0.10935481282247106
network_throughput,2-CPU-Noise,tenant-cpu,0.70624769393857
network_throughput,2-CPU-Noise,tenant-dsk,0.7200236890376843
network_throughput,2-CPU-Noise,tenant-mem,0.8428082887239745
network_throughput,2-CPU-Noise,tenant-nsy,0.6901888709477388
network_throughput,2-CPU-Noise,tenant-ntk,0.5113234101178046
network_throughput,3-Memory-Noise,tenant-cpu,0.7113583912181556
network_throughput,3-Memory-Noise,tenant-dsk,0.7284067967361556
network_throughput,3-Memory-Noise,tenant-mem,0.7060694503200569
network_throughput,3-Memory-Noise,tenant-nsy,0.7658925010283821
network_throughput,3-Memory-Noise,tenant-ntk,0.5525027150445783
network_throughput,4-Network-Noise,tenant-cpu,0.6214770529851101
network_throughput,4-Network-Noise,tenant-dsk,0.5626713301801989
network_throughput,4-Network-Noise,tenant-mem,0.6147606640710599
network_throughput,4-Network-Noise,tenant-nsy,0.14091368689844042
network_throughput,4-Network-Noise,tenant-ntk,0.5196482806892044
network_throughput,5-Disk-Noise,tenant-cpu,0.6863920097264828
network_throughput,5-Disk-Noise,tenant-dsk,0.6111884960738228
network_throughput,5-Disk-Noise,tenant-mem,0.6595604664385883
network_throughput,5-Disk-Noise,tenant-nsy,0.11903443914816991
network_throughput,5-Disk-Noise,tenant-ntk,0.331297501003434
network_throughput,6-Combined-Noise,tenant-cpu,0.7306963451125417
network_throughput,6-Combined-Noise,tenant-dsk,0.7189440886810714
network_throughput,6-Combined-Noise,tenant-mem,0.8621213203919607
network_throughput,6-Combined-Noise,tenant-nsy,0.4385471772460605
network_throughput,6-Combined-Noise,tenant-ntk,0.6124874397866726
