tenant_id,metric_name,experimental_phase,mean,volatility,count,baseline_mean,baseline_std,baseline_count,percentage_change,cohen_d,p_value,is_significant,round_id
tenant-dsk,disk_io_total,3-Memory-Noise,12201022.082984185,1754366.7085132631,353,20506691.010310072,49275645.96875214,337,-40.50223862616391,-0.2410342186211673,0.0021513581647582,True,round-8
tenant-dsk,disk_io_total,4-Network-Noise,12246718.04721512,1773963.3583076347,350,20506691.010310072,49275645.96875214,337,-40.27940421466397,-0.2391827300804019,0.0022747692753194,True,round-8
tenant-dsk,disk_io_total,5-Disk-Noise,6546497.612233406,2111110.068411781,354,20506691.010310072,49275645.96875214,337,-68.07628491138796,-0.4053038617545375,3.5280274234889465e-07,True,round-8
tenant-dsk,disk_io_total,6-Combined-Noise,6232557.537014556,722557.103361366,152,20506691.010310072,49275645.96875214,337,-69.60720023585944,-0.3487315875426143,1.9316081176869878e-07,True,round-8
tenant-dsk,disk_io_total,7-Recovery,12212037.81295678,2260796.8977298564,214,20506691.010310072,49275645.96875214,337,-40.44852089097661,-0.2150269344276978,0.0022029479215823,True,round-8
tenant-dsk,memory_usage,2-CPU-Noise,497659190.1257143,41036664.85693043,350,492770507.58456975,59188477.88080854,337,0.9920809922467914,0.0963134591493353,0.2104661940080158,False,round-8
tenant-dsk,memory_usage,3-Memory-Noise,503217897.5184136,49398876.07597597,353,492770507.58456975,59188477.88080854,337,2.120132957033931,0.1920462574224158,0.0122720665950323,True,round-8
tenant-dsk,memory_usage,4-Network-Noise,513251761.0057143,49660847.97544633,350,492770507.58456975,59188477.88080854,337,4.156347246010768,0.3755091850536691,1.1846692958864695e-06,True,round-8
tenant-dsk,memory_usage,5-Disk-Noise,528159078.6892656,47426232.29507868,354,492770507.58456975,59188477.88080854,337,7.181552174898044,0.6616372581269909,4.1982454911183706e-17,True,round-8
tenant-dsk,memory_usage,6-Combined-Noise,516648501.8947368,58166427.81049395,152,492770507.58456975,59188477.88080854,337,4.845662218546858,0.4055815186957765,3.865454551802256e-05,True,round-8
tenant-dsk,memory_usage,7-Recovery,520670887.4766355,39459890.89501583,214,492770507.58456975,59188477.88080854,337,5.661941910611904,0.5322140027117714,7.711258595347024e-11,True,round-8
tenant-dsk,network_receive,2-CPU-Noise,8475.849522894727,1166.9441000344088,350,8648.640554574344,1255.563401440619,337,-1.997898173583202,-0.1426582795137826,0.0623807405535778,False,round-8
tenant-dsk,network_receive,3-Memory-Noise,8687.13112507227,1176.3859666070575,353,8648.640554574344,1255.563401440619,337,0.4450476378922748,0.0316612816453283,0.6782014557638067,False,round-8
tenant-dsk,network_receive,4-Network-Noise,8505.748526340734,1256.0498585361636,350,8648.640554574344,1255.563401440619,337,-1.652190622698876,-0.1137846360343096,0.1364407055119077,False,round-8
tenant-dsk,network_receive,5-Disk-Noise,8267.890002631451,1166.4178420032615,354,8648.640554574344,1255.563401440619,337,-4.402432376976402,-0.3144850545062837,4.173111207012573e-05,True,round-8
tenant-dsk,network_receive,6-Combined-Noise,7130.505344223491,957.8689321835388,152,8648.640554574344,1255.563401440619,337,-17.553454797562342,-1.296022571644852,8.317452231310108e-39,True,round-8
tenant-dsk,network_receive,7-Recovery,8496.462775787648,1422.1113650984892,214,8648.640554574344,1255.563401440619,337,-1.7595572139508984,-0.1150532521328233,0.2011660736946146,False,round-8
tenant-dsk,network_transmit,2-CPU-Noise,2046.2600347225557,220.50945139676392,350,3373.0590208909034,7860.521551620324,337,-39.33518441126801,-0.2409084261075551,0.0021161509567075,True,round-8
tenant-dsk,network_transmit,3-Memory-Noise,2076.064665111864,221.5407892149744,353,3373.0590208909034,7860.521551620324,337,-38.45157608408742,-0.2360101479740199,0.0026530493007171,True,round-8
tenant-dsk,network_transmit,4-Network-Noise,2027.5461505117669,230.3300181012634,350,3373.0590208909034,7860.521551620324,337,-39.88998894018034,-0.2442972439029849,0.0018328608012468,True,round-8
tenant-dsk,network_transmit,5-Disk-Noise,1995.9439758590315,231.57564972366143,354,3373.0590208909034,7860.521551620324,337,-40.82688848617134,-0.2507615347662106,0.0014317992346275,True,round-8
tenant-dsk,network_transmit,6-Combined-Noise,1784.06688239377,206.40783045338333,151,3373.0590208909034,7860.521551620324,337,-47.10834078667985,-0.2430815791408465,0.000244091811289,True,round-8
tenant-dsk,network_transmit,7-Recovery,2043.943129591444,266.32659214707945,213,3373.0590208909034,7860.521551620324,337,-39.40387295530955,-0.2158613575201444,0.0020897933225188,True,round-8
tenant-mem,cpu_usage,2-CPU-Noise,2.4853703537744223,0.2291778917922099,350,3.708769229600943,0.277308835393861,337,-32.986654064700495,-4.817874374221813,4.784233787229379e-279,True,round-8
tenant-mem,cpu_usage,3-Memory-Noise,2.819330513999022,0.2258562597314358,353,3.708769229600943,0.277308835393861,337,-23.98204526997823,-3.5253414615153518,1.2058308129697215e-206,True,round-8
tenant-mem,cpu_usage,4-Network-Noise,2.299928920696137,0.222275315961028,350,3.708769229600943,0.277308835393861,337,-37.98673418826856,-5.61775525837339,1.6301039213e-314,True,round-8
tenant-mem,cpu_usage,5-Disk-Noise,3.3484608761297747,0.2495425493663673,354,3.708769229600943,0.277308835393861,337,-9.71503836354727,-1.3676589255514628,5.003996980637398e-59,True,round-8
tenant-mem,cpu_usage,6-Combined-Noise,1.6735468040460295,0.1928263931850652,151,3.708769229600943,0.277308835393861,337,-54.87595208974216,-8.004905018548829,5.451769391585412e-275,True,round-8
tenant-mem,cpu_usage,7-Recovery,3.7660076978121015,0.3320067025046606,214,3.708769229600943,0.277308835393861,337,1.5433278445668457,0.1909744661271101,0.0364090434627617,True,round-8
tenant-mem,disk_io_total,2-CPU-Noise,308002.41073369497,41194.68477615059,350,300327.8120261971,42439.71395564376,337,2.555407258395514,0.1835588465598894,0.016490875793393,True,round-8
tenant-mem,disk_io_total,3-Memory-Noise,310545.84681746614,40248.64142544782,353,300327.8120261971,42439.71395564376,337,3.4022938875796647,0.2472112365394839,0.001244815629837,True,round-8
tenant-mem,disk_io_total,4-Network-Noise,306902.5933136679,38763.55707919698,350,300327.8120261971,42439.71395564376,337,2.189201607108344,0.1619070969220436,0.0345542546480843,True,round-8
tenant-mem,disk_io_total,5-Disk-Noise,297358.2567063143,36480.08450491991,354,300327.8120261971,42439.71395564376,337,-0.9887713361770782,-0.0751807700884238,0.3253828998272695,False,round-8
