metric_name,phase,tenant1,tenant2,mean_correlation,std_correlation
network_total_bandwidth,1 - Baseline,tenant-mem,tenant-ntk,0.8088579471267568,0.03760309338443449
network_total_bandwidth,2 - CPU Noise,tenant-cpu,tenant-dsk,0.11347307511056454,0.06683476288006909
network_total_bandwidth,2 - CPU Noise,tenant-cpu,tenant-mem,0.20636526295094137,0.02453181191549513
network_total_bandwidth,2 - CPU Noise,tenant-cpu,tenant-nsy,0.07016983666582713,0.062194105549830715
network_total_bandwidth,2 - CPU Noise,tenant-cpu,tenant-ntk,0.26346753118292027,0.07483989844513018
network_total_bandwidth,2 - CPU Noise,tenant-dsk,tenant-mem,0.20253100980654085,0.13494354817247686
network_total_bandwidth,2 - CPU Noise,tenant-dsk,tenant-nsy,0.10662892155542247,0.08734068980520614
network_total_bandwidth,2 - CPU Noise,tenant-dsk,tenant-ntk,0.24910729384404584,0.010477778787268393
network_total_bandwidth,2 - CPU Noise,tenant-mem,tenant-nsy,0.15785836378684762,0.05642105149380512
network_total_bandwidth,2 - CPU Noise,tenant-mem,tenant-ntk,0.27394133356238864,0.1260164565258707
network_total_bandwidth,2 - CPU Noise,tenant-nsy,tenant-ntk,0.15714583528285395,0.1069738814135551
network_total_bandwidth,3 - Memory Noise,tenant-cpu,tenant-dsk,0.15247314132874024,0.039164256847070734
network_total_bandwidth,3 - Memory Noise,tenant-cpu,tenant-mem,0.13830153953482544,0.03192094699080601
network_total_bandwidth,3 - Memory Noise,tenant-cpu,tenant-nsy,0.10828261403650165,0.14226819757267198
network_total_bandwidth,3 - Memory Noise,tenant-cpu,tenant-ntk,0.19999618451302,0.0843678194194118
network_total_bandwidth,3 - Memory Noise,tenant-dsk,tenant-mem,0.15973046069529362,0.060559617459918585
network_total_bandwidth,3 - Memory Noise,tenant-dsk,tenant-nsy,0.1506478196866148,0.03100911061563591
network_total_bandwidth,3 - Memory Noise,tenant-dsk,tenant-ntk,0.2118303349831964,0.02346183260988333
network_total_bandwidth,3 - Memory Noise,tenant-mem,tenant-nsy,0.08481620775535649,0.04171345417632917
network_total_bandwidth,3 - Memory Noise,tenant-mem,tenant-ntk,0.24406567795862388,0.050319829972414715
network_total_bandwidth,3 - Memory Noise,tenant-nsy,tenant-ntk,0.2002053000873111,0.09462903291298651
network_total_bandwidth,4 - Network Noise,tenant-cpu,tenant-dsk,0.08475195533548467,0.0887133008660316
network_total_bandwidth,4 - Network Noise,tenant-cpu,tenant-mem,0.16751660147910438,0.05993586440002926
network_total_bandwidth,4 - Network Noise,tenant-cpu,tenant-nsy,0.03465189672862213,0.051886003467807085
network_total_bandwidth,4 - Network Noise,tenant-cpu,tenant-ntk,0.2984626373927879,0.09940839607442356
network_total_bandwidth,4 - Network Noise,tenant-dsk,tenant-mem,0.16028853529547737,0.047673731799781724
network_total_bandwidth,4 - Network Noise,tenant-dsk,tenant-nsy,0.07437301667075608,0.03685635474353367
network_total_bandwidth,4 - Network Noise,tenant-dsk,tenant-ntk,0.22390740658136246,0.08088610035518475
network_total_bandwidth,4 - Network Noise,tenant-mem,tenant-nsy,0.06314401537446977,0.044101453094769934
network_total_bandwidth,4 - Network Noise,tenant-mem,tenant-ntk,0.25523758970432714,0.07775312585992851
network_total_bandwidth,4 - Network Noise,tenant-nsy,tenant-ntk,0.12356944542840957,0.052120617588865284
network_total_bandwidth,5 - Disk Noise,tenant-cpu,tenant-dsk,0.19875257066153676,0.12955056201286363
network_total_bandwidth,5 - Disk Noise,tenant-cpu,tenant-mem,0.2906662915957327,0.046083418541111525
network_total_bandwidth,5 - Disk Noise,tenant-cpu,tenant-nsy,0.09748456119746607,0.08061523213533854
network_total_bandwidth,5 - Disk Noise,tenant-cpu,tenant-ntk,0.26263140337328517,0.07255208402310978
network_total_bandwidth,5 - Disk Noise,tenant-dsk,tenant-mem,0.22557301529595267,0.1391059989704654
network_total_bandwidth,5 - Disk Noise,tenant-dsk,tenant-nsy,0.11995829711135464,0.04636878786913449
network_total_bandwidth,5 - Disk Noise,tenant-dsk,tenant-ntk,0.2216979026018503,0.04863067745982034
